"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @EnvironmentMO: Thank you to @Emily4Mo for introducing HB1118, our Right to Repair bill to reduce our e-waste and allows consumers to re…",FALSE,0,NA,2021-02-19 19:44:05,FALSE,NA,"1362850464757411844",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nProctor",6,TRUE,FALSE,NA,NA
"RT @EnvironmentMO: Thank you to @Emily4Mo for introducing HB1118, our Right to Repair bill to reduce our e-waste and allows consumers to re…",FALSE,0,NA,2021-02-19 19:42:16,FALSE,NA,"1362850003484557319",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","bridgeKCMO",6,TRUE,FALSE,NA,NA
"Thank you to @Emily4Mo for introducing HB1118, our Right to Repair bill to reduce our e-waste and allows consumers… https://t.co/sV6VcXhB6w",FALSE,35,NA,2021-02-19 19:40:30,TRUE,NA,"1362849560197017600",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","EnvironmentMO",6,FALSE,FALSE,NA,NA
"Farmer humor. #RightToRepair https://t.co/S1qpwtMV8A",FALSE,2,NA,2021-02-19 19:21:41,FALSE,NA,"1362844823976374275",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TFBGovAff_Billy",0,FALSE,FALSE,NA,NA
"RT @daveborghuis: John Deere beloofde in 2018 dat iedereen de tools krijgt om zijn apparatuur te repareren, fast forward naar 2021 blijkt d…",FALSE,0,NA,2021-02-19 19:10:02,FALSE,NA,"1362841893604904969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DommeBoer",10,TRUE,FALSE,NA,NA
"RT @amgreentweets: ""By controlling the pace at which people buy new electronics and eliminating competition for repairs...manufacturers can…",FALSE,0,NA,2021-02-19 18:59:16,FALSE,NA,"1362839183203704836",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PatriciaKelmar",6,TRUE,FALSE,NA,NA
"Mechanical parts should be easy to solve. But electronic side, not so. It should be something like OBD. OBD was rea… https://t.co/1kAZ7WrtNS",FALSE,3,NA,2021-02-19 18:56:37,TRUE,NA,"1362838517055954944",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BrainiacMicro",0,FALSE,FALSE,NA,NA
"RT @amgreentweets: ""By controlling the pace at which people buy new electronics and eliminating competition for repairs...manufacturers can…",FALSE,0,NA,2021-02-19 18:40:35,FALSE,NA,"1362834483607719938",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KevinBeynon",6,TRUE,FALSE,NA,NA
"RT @copirg: Today, we released our report on how farmers don't have their #RighttoRepair thanks to software locks put on equipment like tra…",FALSE,0,NA,2021-02-19 18:30:36,FALSE,NA,"1362831970942791686",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ileech",8,TRUE,FALSE,NA,NA
"RT @amgreentweets: ""By controlling the pace at which people buy new electronics and eliminating competition for repairs...manufacturers can…",FALSE,0,NA,2021-02-19 18:30:33,FALSE,NA,"1362831959173562369",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nProctor",6,TRUE,FALSE,NA,NA
"""By controlling the pace at which people buy new electronics and eliminating competition for repairs...manufacturer… https://t.co/lGpgeniHU2",FALSE,13,NA,2021-02-19 18:30:13,TRUE,NA,"1362831874775801863",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amgreentweets",6,FALSE,FALSE,NA,NA
"#RightToRepair <U+0001F60D><U+0001F60D><U+0001F60D> https://t.co/Dt7GoggNiG",FALSE,8,NA,2021-02-19 18:13:38,FALSE,NA,"1362827700231163905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FabioLeone94",0,FALSE,FALSE,NA,NA
"Farmers are an integral part of our society, and deserve to be treated as such. If John Deere can't deliver on thei… https://t.co/Aw85WieK4E",FALSE,4,NA,2021-02-19 18:10:02,TRUE,NA,"1362826793791729666",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","al_debellis",1,FALSE,FALSE,NA,NA
"RT @kevin_oreilly7: Senator Bradley is fighting for Florida farmers’ #RightToRepair. If you live in FL, call your state senators and tell t…",FALSE,0,NA,2021-02-19 17:47:55,FALSE,NA,"1362821228021637121",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LordSeraphicat",3,TRUE,FALSE,NA,NA
"@mitch_giese @FAKEBOBVP @dbapod #RightToRepair",FALSE,0,"mitch_giese",2021-02-19 17:37:30,FALSE,"1362818234609762310","1362818608217419777","835246428368809984","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","waynebarahona",0,FALSE,FALSE,NA,NA
"Unfortunately, it is not possible to trust corporations such as @JohnDeere as demonstrated by the continued inabili… https://t.co/TRkDUAs9F1",FALSE,0,NA,2021-02-19 17:37:30,TRUE,NA,"1362818606858457089",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","drnic1",0,FALSE,FALSE,NA,NA
"RT @EnriqueGabarini: A la industria de maquinaria agronomica le estaria faltando un movimiento como el #opensource en software, #RightToRep…",FALSE,0,NA,2021-02-19 17:07:27,FALSE,NA,"1362811045660798976",NA,"","opensource_orgs",1,TRUE,FALSE,NA,NA
"A la industria de maquinaria agronomica le estaria faltando un movimiento como el #opensource en software, #RightToRepair <U+0001F973><U+0001F973><U+0001F973>",FALSE,0,NA,2021-02-19 17:07:22,FALSE,NA,"1362811024194363392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EnriqueGabarini",1,FALSE,FALSE,NA,NA
"This picture was in the VICE article yesterday with a broken link.  No electronic tools -- just wrenches.  Hardly… https://t.co/5NEsqNMMZG",FALSE,6,NA,2021-02-19 17:06:50,TRUE,NA,"1362810890819571714",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RepairCoalition",1,FALSE,FALSE,NA,NA
"Whether you have a tractor or a transistor you need the #RightToRepair #zerowaste https://t.co/aMnwzgS1TM",FALSE,5,NA,2021-02-19 17:01:25,FALSE,NA,"1362809527507255296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Janet_MASSPIRG",0,FALSE,FALSE,NA,NA
"RT @cawrecycles: This is the year for #RightToRepair! @SusanEggman's bill will require companies to make parts, tools and info available to…",FALSE,0,NA,2021-02-19 16:54:53,FALSE,NA,"1362807881586798595",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AriannaSmith",2,TRUE,FALSE,NA,NA
"Support your #RightToRepair in Oregon. Write a letter to your state rep here: https://t.co/SUmYe7jCBp",FALSE,0,NA,2021-02-19 16:51:49,FALSE,NA,"1362807111835475969",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","phamtq",0,FALSE,FALSE,NA,NA
"RT @edmpirg: Big Tractor has joined Big Tech's crafty ways to maintain corporate power, this time blocking farmers' #RightToRepair their ow…",FALSE,0,NA,2021-02-19 16:51:29,FALSE,NA,"1362807026578055174",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jwmab",5,TRUE,FALSE,NA,NA
"Right To Repair: The Last Stand In Checking Big Tech’s Power Grab #RightToRepair #TechRepair via @forbes https://t.co/WnVhGebdKg",FALSE,2,NA,2021-02-19 16:49:24,FALSE,NA,"1362806502654885888",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RobBobLink",0,FALSE,FALSE,NA,NA
"RT @SiddharthVDabhi: If liberty means anything at all, it means the right to tell people what they do not want to hear.
#SpeechForFreedom
#…",FALSE,0,NA,2021-02-19 16:49:01,FALSE,NA,"1362806405720383489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HardikPardeshi4",2,TRUE,FALSE,NA,NA
"RT @securepairs: John Deere Promised Farmers It Would Make Tractors Easy to Repair. It Lied. More great #righttorepair coverage from @VICE…",FALSE,0,NA,2021-02-19 16:48:16,FALSE,NA,"1362806218373423105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SirJaiBoog",1,TRUE,FALSE,NA,NA
"RT @RestartProject: Binding #RighttoRepair regulation is the only way forward.",FALSE,0,NA,2021-02-19 16:40:52,FALSE,NA,"1362804355301269506",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","manek43509",3,TRUE,FALSE,NA,NA
"RT @daveborghuis: John Deere beloofde in 2018 dat iedereen de tools krijgt om zijn apparatuur te repareren, fast forward naar 2021 blijkt d…",FALSE,0,NA,2021-02-19 16:28:00,FALSE,NA,"1362801117646757893",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cookmuts",10,TRUE,FALSE,NA,NA
"This is the year for #RightToRepair! @SusanEggman's bill will require companies to make parts, tools and info avail… https://t.co/LZ98CveAGF",FALSE,3,NA,2021-02-19 16:24:07,TRUE,NA,"1362800138586972160",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cawrecycles",2,FALSE,FALSE,NA,NA
